day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
40,-0.41164,1.02589,1.09099,-0.39738,0.87342,0.74211,-0.01954,0.77137,0.88208,-0.40515,0.14696,-0.31824,-0.41152,0.62158,0.64385,-0.42556,0.57284,0.59728,0.68755,0.43208,0.68065,0.41341,0.69895,-0.00565,0.74353,0.44731,0.78289,0.75262,0.95025
41,-0.39032,1.11865,1.19172,-0.37608,0.95257,0.80382,0.22552,0.83732,0.95032,-0.41131,0.33911,-0.29446,-0.37738,0.66259,0.67633,-0.42287,0.62266,0.65087,0.70238,0.51973,0.73408,0.50683,0.75338,-0.00138,0.80855,0.47747,0.85792,0.82113,1.03834
42,-0.36229,1.19713,1.26727,-0.39250,1.02019,0.85001,0.30334,0.89064,1.00684,-0.40345,0.37103,-0.31231,-0.38022,0.70461,0.69632,-0.42440,0.62728,0.64759,0.70495,0.53015,0.77117,0.51555,0.79287,-0.00232,0.84338,0.47366,0.91691,0.87956,1.12028
43,-0.36682,1.27548,1.34603,-0.39483,1.09406,0.90607,-0.18035,0.94282,1.06238,-0.37250,0.20518,-0.33108,-0.40166,0.76954,0.74013,-0.37929,0.62570,0.64304,0.77447,0.46751,0.81969,0.44369,0.83993,0.06134,0.85257,0.48269,0.96658,0.93626,1.19536
44,-0.39035,1.35310,1.43234,-0.38284,1.17279,0.96375,0.18714,0.99459,1.11312,-0.37005,0.34288,-0.32038,-0.39518,0.77695,0.77043,-0.36364,0.66471,0.69166,0.79671,0.52891,0.85656,0.51847,0.89362,0.01737,0.89054,0.50943,1.02358,0.99425,1.27046
45,-0.37261,1.40472,1.47148,-0.40515,1.21575,0.98684,0.23625,1.01966,1.13860,-0.39443,0.36377,-0.35771,-0.39444,0.74133,0.73793,-0.39855,0.62553,0.62495,0.73288,0.50781,0.84679,0.49091,0.92120,-0.00292,0.89299,0.48482,1.04894,1.03286,1.32150
46,-0.38202,1.47179,1.54097,-0.41196,1.27214,1.04008,-0.41208,1.04699,1.16925,-0.39040,-0.29127,-0.36625,-0.41687,0.74590,0.63514,-0.40689,0.40442,0.40863,0.66909,0.05252,0.80364,0.02647,0.92592,0.02558,0.86485,0.51256,1.09567,1.08336,1.38547
47,-0.41794,1.53490,1.60369,-0.41136,1.32779,1.08860,-0.13161,1.08817,1.20225,-0.40614,0.09958,-0.37387,-0.42254,0.71906,0.67609,-0.41939,0.51041,0.50999,0.69471,0.33379,0.83396,0.31096,0.95911,-0.00556,0.90984,0.53397,1.13910,1.13315,1.44958
48,-0.40229,1.57600,1.64241,-0.40118,1.36183,1.11537,-0.24748,1.10303,1.20465,-0.37263,0.03149,-0.35354,-0.40625,0.69953,0.63771,-0.35106,0.45053,0.45141,0.65962,0.27843,0.81253,0.26003,0.96273,0.04705,0.88553,0.51756,1.15970,1.16380,1.49838
49,-0.35443,1.61804,1.67418,-0.33365,1.39592,1.13262,0.28498,1.12390,1.21256,-0.35496,0.29355,-0.31216,-0.35461,0.67021,0.65948,-0.26207,0.52094,0.50986,0.62744,0.40610,0.84156,0.38640,0.99741,0.03633,0.92331,0.53424,1.18559,1.19876,1.54931
50,-0.28692,1.66137,1.70994,-0.23305,1.42539,1.16088,-0.23641,1.14079,1.22236,-0.27487,0.05003,-0.23859,-0.29643,0.69339,0.62452,-0.17153,0.45807,0.46944,0.62639,0.32265,0.82259,0.31588,1.00599,0.13419,0.89013,0.53549,1.20929,1.23309,1.59222
51,-0.25397,1.70917,1.77074,-0.15873,1.47268,1.20316,-0.26525,1.16530,1.24825,-0.19481,-0.12032,-0.17947,-0.21695,0.72774,0.64598,-0.11383,0.47712,0.50747,0.68324,0.27917,0.82872,0.26631,1.01434,0.09377,0.88322,0.57242,1.25508,1.26848,1.63165
52,-0.20749,1.71672,1.78306,-0.07903,1.47891,1.20936,-0.15022,1.16100,1.23018,-0.15562,-0.00600,-0.10965,-0.13675,0.70509,0.62325,-0.00884,0.44681,0.46647,0.65239,0.25360,0.81231,0.24391,1.00307,0.16610,0.84156,0.54543,1.26264,1.27272,1.63228
53,-0.00879,1.73076,1.81178,0.09400,1.49374,1.21949,0.02123,1.14610,1.19337,0.15687,0.04123,0.05059,0.02018,0.66521,0.53085,0.15631,0.31277,0.33247,0.56311,0.11047,0.74338,0.11692,0.96889,0.61278,0.79048,0.62307,1.27284,1.28421,1.64720
54,0.08047,1.74723,1.84255,0.19996,1.50857,1.23260,0.14569,1.12877,1.15991,0.18695,0.13710,0.15478,0.14812,0.64114,0.44076,0.21048,0.19214,0.22107,0.48618,0.09363,0.67320,0.10909,0.92102,0.82855,0.76235,0.71024,1.28663,1.30246,1.67164
55,0.18888,1.78374,1.90763,0.30889,1.56359,1.26743,0.27966,1.12650,1.17080,0.22059,0.27690,0.29227,0.26186,0.65164,0.36890,0.37413,0.21192,0.24977,0.44132,0.23541,0.62278,0.25344,0.87695,1.11271,0.78082,0.87118,1.33876,1.34261,1.71970
56,0.26775,1.86897,2.01902,0.38862,1.65480,1.34505,0.31844,1.17761,1.26172,0.23548,0.32289,0.35683,0.32123,0.75360,0.46699,0.46079,0.36050,0.40728,0.56283,0.33520,0.69117,0.34112,0.91111,1.13083,0.89314,1.06309,1.43847,1.42091,1.81552
