day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
42,33.65854,46.23200,46.42492,35.21446,44.54283,41.94029,35.93492,40.63987,42.32025,31.84538,36.11962,33.41383,35.24046,39.31158,37.15546,36.07617,36.03967,36.56604,37.72208,36.07108,38.52521,36.32817,39.61358,43.06350,40.71925,42.07771,42.91100,43.63504,46.95108
43,63.12579,64.75875,63.40087,60.75242,63.25533,63.66346,62.35013,63.16246,63.02571,62.50629,61.48308,62.06933,62.75925,61.10896,60.14513,60.36500,59.62571,59.49738,59.82400,60.58571,61.29675,60.50754,62.34025,62.44904,62.21404,62.40071,63.09750,64.70913,67.93017
44,49.71812,40.38967,41.15125,41.55913,39.89313,38.17650,47.27633,37.80892,39.70779,50.77708,45.54638,44.79233,46.82879,39.80583,39.27746,38.36258,40.36579,41.13117,40.11550,43.06462,38.76092,43.45258,38.09625,42.16475,39.51283,40.78117,39.18700,38.94725,41.18579
45,45.10833,35.21696,35.01542,37.77667,34.96621,34.16146,43.64483,34.18733,36.16238,45.15121,41.93725,40.16942,43.05358,36.33071,35.65158,34.59475,36.71521,37.58100,36.61308,39.43542,35.15833,39.87050,34.53204,39.04846,36.06854,37.46500,34.95975,34.73554,37.84383
46,86.12742,75.64242,73.52533,80.21029,74.26350,75.76571,84.66312,76.02425,76.32833,86.10196,83.14313,82.50954,84.48838,77.40488,77.65671,77.44292,78.83083,79.22733,78.03663,81.07971,76.96188,81.29392,76.33654,77.94879,76.83604,77.24025,75.13287,76.32125,80.40987
47,23.25829,21.58521,21.41225,18.72654,20.15046,18.75742,22.47571,17.99067,19.50137,23.44825,21.53542,20.19979,21.89896,18.89254,17.96117,17.00054,18.39054,19.11079,18.78000,20.02675,17.89075,20.38683,17.72475,21.78058,18.98821,20.25946,19.26404,20.12275,24.01242
48,61.20262,50.09458,47.96054,53.17800,48.45200,49.66458,58.87888,49.62542,50.20733,61.75346,56.99475,56.69108,58.62533,50.68858,50.43642,49.97329,51.58321,52.19338,51.02471,54.40263,49.98358,54.71800,49.59683,52.47350,50.38387,51.17467,49.00838,50.69583,55.88512
49,17.25792,13.53992,13.52354,12.78358,12.77633,12.04183,15.87033,11.64221,12.44833,18.02325,15.00492,14.62783,15.53096,12.25592,11.79392,11.24787,12.26746,12.74629,12.29621,13.69254,11.66646,13.94029,11.51446,13.81533,12.22296,12.92808,12.30117,12.74417,14.74883
50,88.77804,66.27775,65.57108,78.60829,66.72983,68.18863,85.69808,69.18000,70.09504,89.38192,83.20425,82.87692,85.57767,72.84021,73.88162,73.64529,76.24692,76.81421,74.50704,79.87946,72.08142,80.18317,70.36046,73.19725,71.32717,71.95254,68.05167,67.79008,69.91083
51,19.91008,18.71542,18.55908,16.49567,17.69621,16.84517,19.16512,16.31363,17.22817,19.99025,18.39121,17.82233,18.91142,16.54787,15.82642,15.29017,16.03308,16.45275,16.27458,17.25904,15.95921,17.46529,16.01758,18.59021,16.77975,17.60183,17.10217,17.76658,20.25388
52,21.99062,15.13862,15.47529,17.69408,15.44625,14.97421,21.29383,15.07196,16.13175,21.88487,20.25304,19.15375,20.90804,16.50542,16.26029,15.66221,17.03446,17.56617,16.85629,18.71200,15.80292,18.98337,15.31292,17.99979,16.19088,16.97371,15.43617,15.07642,16.02988
53,42.21442,46.58842,42.69967,40.89258,41.87221,44.18475,41.48654,42.96917,40.54904,41.64492,40.75904,42.40479,42.12938,39.59412,39.69683,40.77042,39.45263,38.94525,38.84783,40.12883,40.54283,39.89521,41.62592,38.49208,40.24992,39.29383,41.66425,46.24988,52.28737
