day,box1,box2,box3,box4,box5,box6,box7,box8,box9,box10,box11,box12,box13,box14,box15,box16,box17,box18,box19,box20,box21,box22,box23,box24,box25,box26,box27,box28,box29
50,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438,0.40438
51,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746,0.40746
52,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055,0.41055
53,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365,0.41365
54,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677,0.41677
55,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989,0.41989
56,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303,0.42303
57,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617,0.42617
58,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932,0.42932
59,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248,0.43248
60,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565,0.43565
61,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883,0.43883
62,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201,0.44201
63,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520,0.44520
64,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839,0.44839
65,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159,0.45159
66,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480,0.45480
67,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801,0.45801
68,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122,0.46122
69,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444,0.46444
70,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766,0.46766
